m#id	m#node	C#dc	C#cc	C#bc	C#pr	C#c	D#community	cD#class
41	java.awt.EventDispatchThread	0.005281	0.477617	0.000002	0.000431	0.750000	3	1
42	java.awt.EventFilter	0.001320	0.330858	0.000000	0.000187	1.000000	2	1
43	java.awt.EventQueue	0.003960	0.479734	0.000106	0.000330	0.600000	3	1
44	java.awt.EventQueueItem	0.001980	0.476415	0.000000	0.000222	1.000000	0	1
45	java.awt.FileDialog	0.038944	0.494775	0.001467	0.001983	0.250731	2	1
46	java.awt.FlowLayout	0.005281	0.481411	0.000003	0.000382	0.821429	2	1
47	java.awt.FocusManager	0.002640	0.476715	0.000000	0.000260	0.833333	7	1
48	java.awt.FocusTraversalPolicy	0.011221	0.483716	0.000005	0.000600	0.676190	2	1
49	java.awt.Font	0.049505	0.496884	0.004897	0.002782	0.185117	2	1
50	java.awt.FontFormatException	0.004620	0.477617	0.000000	0.000374	0.952381	1	1
51	java.awt.FontMetrics	0.033663	0.492203	0.000600	0.001641	0.275102	2	1
52	java.awt.Frame	0.040924	0.494936	0.001611	0.002004	0.249153	2	1
53	java.awt.GradientPaint	0.007921	0.480952	0.000203	0.000530	0.666667	4	1
54	java.awt.GradientPaintContext	0.005941	0.480038	0.000091	0.000427	0.694444	4	1
55	java.awt.Graphics	0.040264	0.494129	0.001211	0.001976	0.310929	2	1
56	java.awt.Graphics2D	0.023102	0.486513	0.001439	0.001377	0.276292	4	1
57	java.awt.GraphicsCallback	0.004620	0.481564	0.000051	0.000348	0.809524	4	1
58	java.awt.GraphicsConfigTemplate	0.003960	0.478220	0.000001	0.000332	0.800000	0	1
59	java.awt.GraphicsConfiguration	0.036964	0.492683	0.000578	0.001711	0.345428	2	1
60	java.awt.GraphicsDevice	0.007261	0.481564	0.000006	0.000516	0.577778	0	1
61	java.awt.GraphicsEnvironment	0.006601	0.481870	0.000005	0.000462	0.666667	4	1
62	java.awt.GridBagConstraints	0.004620	0.478069	0.000016	0.000370	0.666667	7	1
63	java.awt.GridBagLayout	0.006601	0.482330	0.000004	0.000464	0.755556	2	1
64	java.awt.GridBagLayoutInfo	0.002640	0.476715	0.000000	0.000260	0.833333	7	1
65	java.awt.GridLayout	0.005281	0.481411	0.000003	0.000382	0.821429	2	1
66	java.awt.HeadlessException	0.004620	0.477316	0.000000	0.000379	0.952381	1	1
67	java.awt.IllegalComponentStateException	0.004620	0.477316	0.000000	0.000376	0.952381	1	1
68	java.awt.Image	0.044884	0.494936	0.002181	0.002305	0.248485	2	1
69	java.awt.ImageCapabilities	0.018482	0.487138	0.000049	0.000950	0.500000	2	1
70	java.awt.ImageMediaEntry	0.004620	0.479127	0.000038	0.000374	0.571429	2	1
71	java.awt.Insets	0.015182	0.485266	0.000903	0.000873	0.324111	2	1
72	java.awt.ItemSelectable	0.003960	0.332237	0.000001	0.000305	0.333333	2	1
73	java.awt.JobAttributes	0.003300	0.478976	0.000016	0.000289	0.600000	4	1
74	java.awt.KeyEventDispatcher	0.001980	0.327073	0.000000	0.000219	1.000000	2	1
75	java.awt.KeyEventPostProcessor	0.001980	0.327073	0.000000	0.000219	1.000000	2	1
76	java.awt.KeyboardFocusManager	0.009901	0.483716	0.001054	0.000692	0.514286	2	1
77	java.awt.Label	0.029043	0.491723	0.000695	0.001456	0.239958	2	1
78	java.awt.LayoutManager	0.009901	0.475817	0.000006	0.000551	0.582418	2	1
79	java.awt.LayoutManager2	0.005941	0.480495	0.000003	0.000425	0.805556	2	1
80	java.awt.LightweightDispatcher	0.003960	0.478673	0.000293	0.000341	0.600000	2	1
81	java.awt.LinearGradientPaint	0.007261	0.480800	0.000092	0.000502	0.672727	4	1
82	java.awt.LinearGradientPaintContext	0.003960	0.479279	0.000000	0.000335	1.000000	4	1
83	java.awt.List	0.031023	0.492523	0.001336	0.001575	0.211841	2	1
84	java.awt.MediaEntry	0.002640	0.476715	0.000000	0.000267	1.000000	2	1
85	java.awt.MediaTracker	0.003960	0.481105	0.000000	0.000319	0.866667	7	1
86	java.awt.Menu	0.009901	0.480800	0.000945	0.000665	0.600000	2	1
87	java.awt.MenuBar	0.009901	0.483254	0.000288	0.000639	0.571429	2	1
88	java.awt.MenuComponent	0.021782	0.487766	0.000321	0.001117	0.479839	2	1
89	java.awt.MenuContainer	0.007261	0.340220	0.000003	0.000428	0.711111	2	1
90	java.awt.MenuItem	0.011221	0.481411	0.000395	0.000748	0.566176	2	1
91	java.awt.MenuShortcut	0.005941	0.478371	0.000002	0.000440	0.722222	2	1
92	java.awt.ModalEventFilter	0.003300	0.478220	0.000592	0.000332	0.700000	2	1
93	java.awt.MouseInfo	0.002640	0.476565	0.000000	0.000272	1.000000	0	1
94	java.awt.MultipleGradientPaint	0.007921	0.480952	0.000203	0.000544	0.696970	4	1
95	java.awt.MultipleGradientPaintContext	0.005281	0.479582	0.000090	0.000424	0.785714	4	1
96	java.awt.MutableBoolean	0.001980	0.476415	0.000000	0.000222	1.000000	0	1
97	java.awt.PageAttributes	0.003300	0.478976	0.000016	0.000289	0.600000	4	1
98	java.awt.Paint	0.007921	0.339078	0.000019	0.000532	0.515152	4	1
99	java.awt.PaintContext	0.009241	0.334881	0.000010	0.000634	0.285714	4	1
100	java.awt.Panel	0.032343	0.492843	0.000824	0.001620	0.246599	2	1
101	java.awt.PeerFixer	0.003960	0.477466	0.000195	0.000349	0.600000	2	1
102	java.awt.Point	0.042244	0.494613	0.002410	0.002269	0.177083	2	1
103	java.awt.PointerInfo	0.003960	0.478522	0.000001	0.000354	0.800000	0	1
104	java.awt.Polygon	0.008581	0.481564	0.000114	0.000569	0.641026	4	1
105	java.awt.PopupMenu	0.022442	0.487923	0.000444	0.001159	0.446970	2	1
106	java.awt.PrintGraphics	0.000660	0.324272	0.000000	0.000152	0.000000	2	1
107	java.awt.PrintJob	0.004620	0.479734	0.001320	0.000439	0.619048	2	1
108	java.awt.Queue	0.001980	0.476415	0.000000	0.000222	1.000000	0	1
109	java.awt.RadialGradientPaint	0.007261	0.480800	0.000092	0.000502	0.672727	4	1
110	java.awt.RadialGradientPaintContext	0.003960	0.479279	0.000000	0.000335	1.000000	4	1
111	java.awt.Rectangle	0.062706	0.499341	0.003177	0.003321	0.171524	4	1
112	java.awt.RenderingHints	0.021122	0.484180	0.001190	0.001383	0.203629	4	1
113	java.awt.Robot	0.004620	0.479886	0.000001	0.000359	0.809524	0	1
114	java.awt.ScrollPane	0.032343	0.492843	0.001183	0.001636	0.205782	2	1
115	java.awt.ScrollPaneAdjustable	0.003960	0.477617	0.000474	0.000351	0.400000	2	1
116	java.awt.Scrollbar	0.030363	0.492363	0.001354	0.001547	0.220290	2	1
117	java.awt.SentEvent	0.003300	0.478371	0.000428	0.000326	0.600000	0	1
118	java.awt.SequencedEvent	0.003300	0.478371	0.000428	0.000326	0.600000	0	1
119	java.awt.Shape	0.017822	0.339458	0.000069	0.001104	0.280000	4	1
120	java.awt.SplashScreen	0.004620	0.479734	0.000002	0.000357	0.809524	4	1
121	java.awt.Stroke	0.001980	0.328420	0.000000	0.000226	0.666667	4	1
122	java.awt.SystemColor	0.007921	0.481105	0.000098	0.000536	0.636364	4	1
123	java.awt.SystemTray	0.003960	0.478976	0.000030	0.000323	0.666667	2	1
124	java.awt.TextArea	0.030363	0.492203	0.000937	0.001525	0.262802	2	1
125	java.awt.TextComponent	0.031023	0.492363	0.000937	0.001553	0.293247	2	1
126	java.awt.TextField	0.031023	0.492363	0.001080	0.001561	0.252544	2	1
127	java.awt.TexturePaint	0.007261	0.481258	0.000204	0.000501	0.600000	4	1
128	java.awt.TexturePaintContext	0.007261	0.481411	0.000093	0.000503	0.654545	4	1
129	java.awt.Toolkit	0.046205	0.496559	0.001947	0.002339	0.294996	2	1
130	java.awt.Transparency	0.002640	0.334363	0.000001	0.000229	0.500000	4	1
131	java.awt.TrayIcon	0.006601	0.480647	0.000187	0.000453	0.377778	2	1
132	java.awt.VKCollection	0.002640	0.476565	0.000000	0.000273	1.000000	0	1
133	java.awt.Window	0.045545	0.496559	0.002919	0.002352	0.214835	2	1
134	java.awt.color.CMMException	0.004620	0.477316	0.000000	0.000375	0.952381	1	2
135	java.awt.color.ColorSpace	0.008581	0.480342	0.000008	0.000619	0.551282	4	2
136	java.awt.color.ICC_ColorSpace	0.003300	0.476715	0.000000	0.000309	0.900000	6	2
137	java.awt.color.ICC_Profile	0.005941	0.477918	0.000003	0.000494	0.666667	6	2
138	java.awt.color.ICC_ProfileGray	0.003960	0.477316	0.000000	0.000350	0.933333	6	2
139	java.awt.color.ICC_ProfileRGB	0.003960	0.477316	0.000000	0.000350	0.933333	6	2
140	java.awt.color.ProfileDataException	0.004620	0.477316	0.000000	0.000375	0.952381	1	2
141	java.awt.datatransfer.Clipboard	0.007261	0.480495	0.001222	0.000589	0.488889	11	3
142	java.awt.datatransfer.ClipboardOwner	0.002640	0.325456	0.000000	0.000250	1.000000	11	3
143	java.awt.datatransfer.DataFlavor	0.011881	0.480190	0.000304	0.000877	0.301471	11	3
144	java.awt.datatransfer.FlavorEvent	0.003960	0.477316	0.000616	0.000384	0.666667	11	3
145	java.awt.datatransfer.FlavorListener	0.001980	0.329276	0.000005	0.000241	0.333333	11	3
146	java.awt.datatransfer.FlavorMap	0.003300	0.335548	0.000005	0.000308	0.300000	3	3
147	java.awt.datatransfer.FlavorTable	0.003960	0.471963	0.000112	0.000361	0.466667	3	3
148	java.awt.datatransfer.MimeType	0.005281	0.477767	0.000236	0.000463	0.464286	6	3
149	java.awt.datatransfer.MimeTypeParameterList	0.003960	0.477165	0.000017	0.000350	0.533333	6	3
150	java.awt.datatransfer.MimeTypeParseException	0.004620	0.477617	0.000000	0.000374	0.952381	1	3
151	java.awt.datatransfer.StringSelection	0.004620	0.477767	0.000553	0.000434	0.714286	11	3
152	java.awt.datatransfer.SystemFlavorMap	0.005281	0.477767	0.000308	0.000447	0.500000	3	3
153	java.awt.datatransfer.Transferable	0.007921	0.467881	0.000385	0.000620	0.327273	11	3
154	java.awt.datatransfer.UnsupportedFlavorException	0.005281	0.478069	0.000001	0.000418	0.821429	1	3
155	java.awt.dnd.Autoscroll	0.001320	0.331292	0.000000	0.000161	0.000000	2	4
156	java.awt.dnd.DnDConstants	0.001980	0.476415	0.000000	0.000222	1.000000	0	4
157	java.awt.dnd.DnDEventMulticaster	0.026403	0.487295	0.002330	0.001614	0.167949	2	4
158	java.awt.dnd.DragGestureEvent	0.012541	0.484645	0.000455	0.000786	0.431373	2	4
159	java.awt.dnd.DragGestureListener	0.003960	0.336218	0.000008	0.000320	0.533333	2	4
160	java.awt.dnd.DragGestureRecognizer	0.007921	0.482484	0.000238	0.000520	0.727273	2	4
161	java.awt.dnd.DragSource	0.013201	0.484490	0.001037	0.000801	0.450980	2	4
162	java.awt.dnd.DragSourceAdapter	0.005281	0.477617	0.000387	0.000441	0.642857	2	4
163	java.awt.dnd.DragSourceContext	0.013861	0.484180	0.000689	0.000765	0.485294	2	4
164	java.awt.dnd.DragSourceDragEvent	0.007261	0.482177	0.000393	0.000504	0.666667	2	4
165	java.awt.dnd.DragSourceDropEvent	0.006601	0.482024	0.000152	0.000457	0.750000	2	4
166	java.awt.dnd.DragSourceEvent	0.007921	0.482330	0.000155	0.000544	0.690909	2	4
167	java.awt.dnd.DragSourceListener	0.005941	0.332529	0.000012	0.000459	0.416667	2	4
168	java.awt.dnd.DragSourceMotionListener	0.003960	0.331873	0.000007	0.000337	0.333333	2	4
169	java.awt.dnd.DropTarget	0.022442	0.487609	0.002660	0.001283	0.300403	2	4
170	java.awt.dnd.DropTargetAdapter	0.004620	0.477316	0.000237	0.000402	0.809524	11	4
171	java.awt.dnd.DropTargetContext	0.007261	0.481870	0.000533	0.000518	0.644444	11	4
172	java.awt.dnd.DropTargetDragEvent	0.007921	0.480800	0.000265	0.000604	0.469697	11	4
173	java.awt.dnd.DropTargetDropEvent	0.007921	0.480800	0.000265	0.000604	0.469697	11	4
174	java.awt.dnd.DropTargetEvent	0.006601	0.478371	0.000241	0.000528	0.711111	11	4
175	java.awt.dnd.DropTargetListener	0.003960	0.332310	0.000012	0.000350	0.533333	11	4
176	java.awt.dnd.InvalidDnDOperationException	0.004620	0.477316	0.000000	0.000376	0.952381	1	4
177	java.awt.dnd.MouseDragGestureRecognizer	0.007261	0.482024	0.000313	0.000513	0.563636	2	4
178	java.awt.dnd.SerializationTester	0.001980	0.476415	0.000000	0.000222	1.000000	0	4
179	java.awt.dnd.peer.DragSourceContextPeer	0.003960	0.335846	0.000000	0.000256	0.600000	2	5
180	java.awt.dnd.peer.DropTargetContextPeer	0.001980	0.329062	0.000001	0.000225	0.333333	11	5
181	java.awt.dnd.peer.DropTargetPeer	0.000660	0.327851	0.000000	0.000133	0.000000	2	5
182	java.awt.event.AWTEventListener	0.003300	0.337492	0.000008	0.000292	0.300000	2	6
183	java.awt.event.AWTEventListenerProxy	0.004620	0.482945	0.000472	0.000389	0.571429	2	6
184	java.awt.event.ActionEvent	0.004620	0.481564	0.000102	0.000357	0.714286	2	6
185	java.awt.event.ActionListener	0.007921	0.337266	0.000023	0.000515	0.196970	2	6
186	java.awt.event.AdjustmentEvent	0.005941	0.482024	0.000467	0.000461	0.555556	2	6
187	java.awt.event.AdjustmentListener	0.005281	0.335177	0.000022	0.000422	0.321429	2	6
188	java.awt.event.ComponentAdapter	0.003300	0.477015	0.000044	0.000289	0.700000	2	6
189	java.awt.event.ComponentEvent	0.009241	0.483716	0.000055	0.000620	0.549451	2	6
190	java.awt.event.ComponentListener	0.015842	0.342450	0.000039	0.000834	0.184783	2	6
191	java.awt.event.ContainerAdapter	0.003300	0.477015	0.000086	0.000296	0.700000	2	6
192	java.awt.event.ContainerEvent	0.006601	0.482945	0.000090	0.000471	0.666667	2	6
193	java.awt.event.ContainerListener	0.008581	0.339230	0.000018	0.000525	0.269231	2	6
194	java.awt.event.FocusAdapter	0.003300	0.477015	0.000044	0.000293	0.700000	2	6
195	java.awt.event.FocusEvent	0.005941	0.482638	0.000046	0.000436	0.722222	2	6
196	java.awt.event.FocusListener	0.015842	0.342450	0.000039	0.000839	0.184783	2	6
197	java.awt.event.HierarchyBoundsAdapter	0.003300	0.477165	0.000044	0.000289	0.700000	2	6
198	java.awt.event.HierarchyBoundsListener	0.015842	0.342450	0.000037	0.000834	0.188406	2	6
199	java.awt.event.HierarchyEvent	0.007261	0.483408	0.000095	0.000487	0.618182	2	6
200	java.awt.event.HierarchyListener	0.015182	0.342373	0.000026	0.000785	0.201581	2	6
201	java.awt.event.InputEvent	0.006601	0.481717	0.000003	0.000486	0.733333	2	6
202	java.awt.event.InputMethodEvent	0.006601	0.483099	0.000057	0.000464	0.533333	2	6
203	java.awt.event.InputMethodListener	0.015182	0.342450	0.000028	0.000787	0.197628	2	6
204	java.awt.event.InvocationEvent	0.005281	0.479734	0.000571	0.000452	0.464286	1	6
205	java.awt.event.ItemEvent	0.005281	0.481870	0.000378	0.000403	0.571429	2	6
206	java.awt.event.ItemListener	0.005941	0.335400	0.000020	0.000415	0.277778	2	6
207	java.awt.event.KeyAdapter	0.003300	0.477316	0.000044	0.000294	0.700000	2	6
208	java.awt.event.KeyEvent	0.009241	0.483871	0.000916	0.000693	0.439560	2	6
209	java.awt.event.KeyListener	0.015842	0.342683	0.000041	0.000840	0.184783	2	6
210	java.awt.event.MouseAdapter	0.005281	0.477767	0.000124	0.000387	0.464286	2	6
211	java.awt.event.MouseEvent	0.009241	0.484026	0.000091	0.000619	0.560440	2	6
212	java.awt.event.MouseListener	0.017162	0.342838	0.000046	0.000905	0.163077	2	6
213	java.awt.event.MouseMotionAdapter	0.003300	0.477165	0.000039	0.000289	0.700000	2	6
214	java.awt.event.MouseMotionListener	0.017822	0.342915	0.000058	0.000954	0.153846	2	6
215	java.awt.event.MouseWheelEvent	0.006601	0.483254	0.000047	0.000458	0.711111	2	6
216	java.awt.event.MouseWheelListener	0.015842	0.342450	0.000035	0.000828	0.184783	2	6
217	java.awt.event.NativeLibLoader	0.001980	0.476415	0.000000	0.000222	1.000000	0	6
218	java.awt.event.PaintEvent	0.016502	0.484180	0.000474	0.000866	0.316667	2	6
219	java.awt.event.TextEvent	0.004620	0.481564	0.000181	0.000361	0.714286	2	6
220	java.awt.event.TextListener	0.004620	0.334733	0.000004	0.000333	0.333333	2	6
221	java.awt.event.WindowAdapter	0.004620	0.477617	0.000398	0.000375	0.428571	2	6
222	java.awt.event.WindowEvent	0.007921	0.483254	0.000405	0.000547	0.575758	2	6
223	java.awt.event.WindowFocusListener	0.005941	0.336741	0.000008	0.000404	0.361111	2	6
224	java.awt.event.WindowListener	0.005941	0.336741	0.000008	0.000404	0.361111	2	6
225	java.awt.event.WindowStateListener	0.005941	0.336741	0.000008	0.000404	0.361111	2	6
226	java.awt.font.CharArrayIterator	0.002640	0.476715	0.000004	0.000267	0.666667	0	7
227	java.awt.font.FontRenderContext	0.007921	0.480800	0.000005	0.000559	0.696970	4	7
228	java.awt.font.GlyphJustificationInfo	0.004620	0.477316	0.000000	0.000386	0.809524	4	7
229	java.awt.font.GlyphMetrics	0.003300	0.477617	0.000000	0.000295	1.000000	4	7
230	java.awt.font.GlyphVector	0.009901	0.481717	0.000077	0.000637	0.571429	4	7
231	java.awt.font.GraphicAttribute	0.006601	0.478824	0.000050	0.000494	0.800000	4	7
232	java.awt.font.ImageGraphicAttribute	0.006601	0.480647	0.000053	0.000482	0.711111	4	7
233	java.awt.font.LayoutPath	0.003300	0.477316	0.000000	0.000295	1.000000	4	7
234	java.awt.font.LineBreakMeasurer	0.004620	0.477466	0.000003	0.000384	0.714286	4	7
235	java.awt.font.LineMetrics	0.003300	0.478673	0.000000	0.000282	1.000000	2	7
236	java.awt.font.MultipleMaster	0.000660	0.332018	0.000000	0.000131	0.000000	2	7
237	java.awt.font.NumericShaper	0.002640	0.476715	0.000000	0.000260	0.833333	7	7
238	java.awt.font.OpenType	0.000660	0.468605	0.000000	0.000140	0.000000	1	7
239	java.awt.font.ShapeGraphicAttribute	0.005941	0.478673	0.000050	0.000452	0.777778	4	7
240	java.awt.font.StyledParagraph	0.003300	0.477015	0.000002	0.000300	0.800000	0	7
241	java.awt.font.TextAttribute	0.003960	0.476865	0.000000	0.000375	0.800000	0	7
242	java.awt.font.TextHitInfo	0.004620	0.477617	0.000049	0.000372	0.523810	2	7
243	java.awt.font.TextJustifier	0.001980	0.476415	0.000000	0.000222	1.000000	0	7
244	java.awt.font.TextLayout	0.011881	0.482484	0.000098	0.000805	0.450980	4	7
245	java.awt.font.TextLine	0.008581	0.481717	0.000063	0.000594	0.589744	4	7
246	java.awt.font.TextMeasurer	0.004620	0.477466	0.000018	0.000377	0.619048	4	7
247	java.awt.font.TransformAttribute	0.003300	0.477316	0.000000	0.000295	0.900000	7	7
248	java.awt.geom.AffineTransform	0.029703	0.486825	0.000335	0.001808	0.271670	4	8
249	java.awt.geom.Arc2D	0.006601	0.479886	0.000053	0.000479	0.822222	4	8
250	java.awt.geom.ArcIterator	0.002640	0.476865	0.000053	0.000264	0.500000	4	8
251	java.awt.geom.Area	0.006601	0.480038	0.000119	0.000476	0.666667	4	8
252	java.awt.geom.AreaIterator	0.003960	0.477617	0.000055	0.000339	0.600000	4	8
253	java.awt.geom.CubicCurve2D	0.006601	0.480038	0.000119	0.000476	0.666667	4	8
254	java.awt.geom.CubicIterator	0.002640	0.476865	0.000053	0.000264	0.500000	4	8
255	java.awt.geom.Dimension2D	0.007261	0.480190	0.000020	0.000516	0.690909	4	8
256	java.awt.geom.Ellipse2D	0.006601	0.479886	0.000053	0.000479	0.822222	4	8
257	java.awt.geom.EllipseIterator	0.002640	0.476865	0.000053	0.000264	0.500000	4	8
258	java.awt.geom.FlatteningPathIterator	0.002640	0.476865	0.000053	0.000264	0.500000	4	8
259	java.awt.geom.GeneralPath	0.005941	0.479886	0.000102	0.000437	0.777778	4	8
260	java.awt.geom.IllegalPathStateException	0.004620	0.477316	0.000000	0.000375	0.952381	1	8
261	java.awt.geom.Line2D	0.007921	0.480038	0.000119	0.000476	0.666667	4	8
262	java.awt.geom.LineIterator	0.002640	0.476865	0.000053	0.000264	0.500000	4	8
263	java.awt.geom.NoninvertibleTransformException	0.004620	0.477617	0.000000	0.000374	0.952381	1	8
264	java.awt.geom.Path2D	0.006601	0.480038	0.000119	0.000476	0.666667	4	8
265	java.awt.geom.PathIterator	0.015182	0.337266	0.000051	0.001141	0.142292	4	8
266	java.awt.geom.Point2D	0.023102	0.484490	0.000364	0.001467	0.314286	4	8
267	java.awt.geom.QuadCurve2D	0.006601	0.480038	0.000119	0.000476	0.666667	4	8
268	java.awt.geom.QuadIterator	0.002640	0.476865	0.000053	0.000264	0.500000	4	8
269	java.awt.geom.RectIterator	0.002640	0.476865	0.000053	0.000264	0.500000	4	8
270	java.awt.geom.Rectangle2D	0.032343	0.486825	0.000626	0.001890	0.247343	4	8
271	java.awt.geom.RectangularShape	0.009901	0.480647	0.000121	0.000638	0.692308	4	8
272	java.awt.geom.RoundRectIterator	0.002640	0.476865	0.000053	0.000264	0.500000	4	8
273	java.awt.geom.RoundRectangle2D	0.006601	0.479886	0.000053	0.000479	0.822222	4	8
274	java.awt.im.InputContext	0.016502	0.485888	0.000005	0.000831	0.536232	2	9
275	java.awt.im.InputMethodHighlight	0.003300	0.478976	0.000001	0.000289	0.800000	3	9
276	java.awt.im.InputMethodRequests	0.017162	0.344867	0.000037	0.000887	0.230769	2	9
277	java.awt.im.InputSubset	0.001980	0.476415	0.000000	0.000222	1.000000	0	9
278	java.awt.im.spi.InputMethod	0.004620	0.469622	0.000012	0.000334	0.333333	2	10
279	java.awt.im.spi.InputMethodContext	0.005281	0.474922	0.000027	0.000361	0.428571	2	10
280	java.awt.im.spi.InputMethodDescriptor	0.002640	0.471229	0.000007	0.000252	0.500000	2	10
281	java.awt.image.AffineTransformOp	0.008581	0.481411	0.000209	0.000582	0.589744	4	11
282	java.awt.image.AreaAveragingScaleFilter	0.005941	0.479734	0.000124	0.000441	0.750000	4	11
283	java.awt.image.BandCombineOp	0.005941	0.478824	0.000109	0.000444	0.694444	4	11
284	java.awt.image.BandedSampleModel	0.003960	0.476865	0.000000	0.000360	1.000000	0	11
285	java.awt.image.BufferStrategy	0.006601	0.482177	0.000000	0.000422	0.888889	2	11
286	java.awt.image.BufferedImage	0.023102	0.485421	0.001462	0.001308	0.298387	4	11
287	java.awt.image.BufferedImageFilter	0.006601	0.479886	0.000240	0.000476	0.488889	4	11
288	java.awt.image.BufferedImageOp	0.007921	0.338699	0.000006	0.000541	0.454545	4	11
289	java.awt.image.ByteLookupTable	0.002640	0.476565	0.000000	0.000275	1.000000	0	11
290	java.awt.image.ColorConvertOp	0.008581	0.481411	0.000210	0.000588	0.576923	4	11
291	java.awt.image.ColorModel	0.057426	0.497700	0.002792	0.003168	0.141673	4	11
292	java.awt.image.ComponentColorModel	0.005281	0.479582	0.000000	0.000409	0.892857	4	11
293	java.awt.image.ComponentSampleModel	0.004620	0.477015	0.000000	0.000412	0.952381	0	11
294	java.awt.image.ConvolveOp	0.008581	0.481411	0.000211	0.000598	0.564103	4	11
295	java.awt.image.CropImageFilter	0.005281	0.479582	0.000124	0.000400	0.678571	4	11
296	java.awt.image.DataBuffer	0.011221	0.478976	0.000019	0.000938	0.404412	0	11
297	java.awt.image.DataBufferByte	0.002640	0.476565	0.000000	0.000269	1.000000	0	11
298	java.awt.image.DataBufferDouble	0.002640	0.476565	0.000000	0.000269	1.000000	0	11
299	java.awt.image.DataBufferFloat	0.002640	0.476565	0.000000	0.000269	1.000000	0	11
300	java.awt.image.DataBufferInt	0.002640	0.476565	0.000000	0.000269	1.000000	0	11
301	java.awt.image.DataBufferShort	0.002640	0.476565	0.000000	0.000269	1.000000	0	11
302	java.awt.image.DataBufferUShort	0.002640	0.476565	0.000000	0.000269	1.000000	0	11
303	java.awt.image.DirectColorModel	0.005941	0.479734	0.000000	0.000452	0.916667	4	11
304	java.awt.image.FilteredImageSource	0.003960	0.478522	0.000124	0.000330	0.600000	4	11
305	java.awt.image.ImageConsumer	0.008581	0.335251	0.000007	0.000622	0.423077	4	11
306	java.awt.image.ImageFilter	0.009241	0.480495	0.000147	0.000653	0.604396	4	11
